cell_number,character_count,line_count,return_frequency,for_frequency,if_frequency,using_frequency
4,72,1,0,0,0,0
6,44,2,0,0,0,0
8,37,1,0,1,0,0
10,68,4,0,0,0,0
12,186,6,0,1,0,0
15,466,22,2,1,3,0
16,143,3,0,0,0,0
19,185,6,0,0,0,1
21,52,1,0,0,0,0
22,75,2,0,0,0,0
24,96,5,0,0,0,1
27,235,5,0,0,0,2
28,78,1,0,0,0,1
30,97,5,0,0,0,1
35,461,16,1,5,0,1
36,33,1,0,0,0,0
37,41,2,0,0,0,0
38,86,2,0,0,0,1
39,499,14,1,7,0,0
40,33,1,0,0,0,0
41,98,2,0,0,0,0
42,337,12,1,2,0,0
43,33,1,0,0,0,0
44,188,3,0,1,0,0
45,458,14,1,5,0,0
46,33,1,0,0,0,0
47,137,2,0,1,0,0
50,56,5,0,1,0,0
52,38,3,0,0,0,0
54,87,9,0,0,0,0
56,134,8,0,0,0,0
58,103,10,2,0,1,0
60,79,7,0,0,0,0
